"Date","Cash"
"2010-05-01",87.05
"2010-05-02",100.76
"2010-05-03",73.11
"2010-05-04",5.74
"2010-05-05",100.13
"2010-05-06",79.43
"2010-05-07",85.6
"2010-05-08",87.05
"2010-05-09",100.76
"2010-05-10",73.11
"2010-05-11",5.74
"2010-05-12",100.13
"2010-05-13",79.43
"2010-05-14",85.6
"2010-05-15",87.05
"2010-05-16",100.76
"2010-05-17",73.11
"2010-05-18",5.74
"2010-05-19",100.13
"2010-05-20",79.43
"2010-05-21",85.6
"2010-05-22",87.05
"2010-05-23",100.76
"2010-05-24",73.11
"2010-05-25",5.74
"2010-05-26",100.13
"2010-05-27",79.43
"2010-05-28",85.6
"2010-05-29",87.05
"2010-05-30",100.76
